Title,Score,Vote,Ranked,Popularity,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating
Lodoss-tou SenkiRecord of Lodoss War,7.35,24824,2363,2497,13,Finished Airing,"Jun 30, 1990 to Nov 23, 1991",,"['Kadokawa Shoten', 'TBS', 'Marubeni']","Funimation,       Central Park Media",Madhouse,Light novel,25 min. per ep.,R - 17+ (violence & profanity)
Mahou no Yousei PersiaPersia the Magic Fairy,7.35,927,2364,9316,48,Finished Airing,"Jul 6, 1984 to May 31, 1985",Summer 1984,['add some'],"None found, add some",Pierrot,Original,24 min. per ep.,PG - Children
Majokko Shimai no Yoyo to NeneMagical Sisters Yoyo & Nene,7.35,6366,2365,4981,1,Finished Airing,"Dec 28, 2013",,"['Aniplex', 'Starchild Records', 'Tokuma Shoten']","None found, add some",ufotable,Manga,1 hr. 40 min.,G - All Ages
Meitantei Conan Bonus File: Fantasista no HanaDetective Conan Bonus File: Fantasista Flower,7.35,4021,2366,6401,1,Finished Airing,"Apr 14, 2012",,"['Shogakukan-Shueisha Productions', 'Tokyo Movie Shinsha', 'TOHO']","None found, add some","None found, add some",Manga,25 min.,G - All Ages
Mini DragonMiss Kobayashi's Dragon Maid S Short Animation Series,7.35,35635,2367,2768,13,Finished Airing,"Apr 7, 2021 to Jun 30, 2021",,['add some'],"None found, add some",Kyoto Animation,Manga,1 min. per ep.,PG-13 - Teens 13 or older
"Nami yo KiitekureWave, Listen to Me!",7.35,30526,2368,2249,12,Finished Airing,"Apr 4, 2020 to Jun 20, 2020",Spring 2020,"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures', 'DMM Music']",Funimation,Sunrise,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Net-juu no Susume SpecialRecovery of an MMO Junkie Special,7.35,66259,2369,1927,1,Finished Airing,"Dec 8, 2017",,"['comico', 'Crunchyroll SC Anime Fund']",Funimation,Signal.MD,Web manga,24 min.,PG-13 - Teens 13 or older
Nisekoi:Nisekoi: False Love,7.35,422375,2370,285,12,Finished Airing,"Apr 10, 2015 to Jun 26, 2015",Spring 2015,"['Aniplex', 'Shueisha']",Aniplex of America,Shaft,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Nodame Cantabile: Nodame to Chiaki no Umi Monogatari,7.35,16000,2371,4050,1,Finished Airing,"Oct 5, 2007",,['add some'],"None found, add some",J.C.Staff,Manga,14 min.,G - All Ages
Otona Joshi no Anime Time,7.35,7361,2373,4576,4,Finished Airing,"Jan 7, 2011 to Mar 24, 2013",,['NHK'],"None found, add some","Bones,       Production Reed,       The Answer Studio,       WAO World",Novel,25 min. per ep.,R - 17+ (violence & profanity)
Oushitsu Kyoushi Heine MovieThe Royal Tutor Movie,7.35,9319,2374,4416,1,Finished Airing,"Feb 16, 2019",,['Sotsu'],"None found, add some",Tear Studio,Manga,1 hr.,PG-13 - Teens 13 or older
Quanzhi Fashi IIIFull-Time Magister 3rd Season,7.35,26902,2375,2884,12,Finished Airing,"Oct 12, 2018 to Dec 22, 2018",,"['Tencent Penguin Pictures', 'China Literature Limited']","None found, add some",Foch Films,Novel,18 min. per ep.,PG-13 - Teens 13 or older
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no HououRanma ½: Team Ranma vs. The Legendary Phoenix,7.35,8051,2376,5123,1,Finished Airing,"Aug 20, 1994",,['Fuji TV'],VIZ Media,Studio Deen,Manga,31 min.,PG-13 - Teens 13 or older
Re:␣HamatoraRe: Hamatora: Season 2,7.35,78100,2377,1359,12,Finished Airing,"Jul 8, 2014 to Sep 23, 2014",Summer 2014,"['TV Tokyo', 'Sotsu', 'AT-X', 'DAX Production', 'NAZ', 'DIVE II Entertainment', 'Avex Pictures', 'Q-Tec', 'Shueisha', ""Toy's Factory""]",Sentai Filmworks,Lerche,Mixed media,24 min. per ep.,R - 17+ (violence & profanity)
"Rikei ga Koi ni Ochita no de Shoumei shitemita.Science Fell in Love, So I Tried to Prove It",7.35,143988,2378,674,12,Finished Airing,"Jan 11, 2020 to Mar 28, 2020",Winter 2020,"['Flex Comix', 'Hokkaido Cultural Broadcasting', 'BS11', 'Yomiuri TV Enterprise', 'Kanetsu Investment', 'Toyo Recording', 'ibis Capital Partners', 'Y&N Brothers', 'SUPA LOVE']",Sentai Filmworks,Zero-G,Web manga,23 min. per ep.,PG-13 - Teens 13 or older
Sabage-bu!Sabagebu! -Survival Game Club!-,7.35,56421,2379,1458,12,Finished Airing,"Jul 6, 2014 to Sep 21, 2014",Summer 2014,"['Bandai Visual', 'Lantis', 'Kodansha', 'Banpresto', 'NichiNare']",Sentai Filmworks,Pierrot Plus,Manga,23 min. per ep.,PG-13 - Teens 13 or older
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suruThe World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat",7.35,283312,2380,418,12,Finished Airing,"Oct 6, 2021 to Dec 22, 2021",Fall 2021,"['Lantis', 'Movic', 'AT-X', 'Glovision', 'TV Aichi', 'Crunchyroll', 'Kadokawa Media House', 'Kadokawa', 'Bandai Namco Arts']","None found, add some","SILVER LINK.,       Studio Palette",Light novel,23 min. per ep.,PG-13 - Teens 13 or older
Selector Spread WIXOSS,7.35,39530,2381,2367,12,Finished Airing,"Oct 4, 2014 to Dec 20, 2014",Fall 2014,"['Magic Capsule', 'Warner Bros. Japan', 'Showgate']",Funimation,J.C.Staff,Card game,24 min. per ep.,R - 17+ (violence & profanity)
AKB0048,7.35,28308,2382,2721,13,Finished Airing,"Apr 29, 2012 to Jul 22, 2012",Spring 2012,"['Starchild Records', 'Magic Capsule', 'GANSIS']",Sentai Filmworks,Satelight,Original,23 min. per ep.,PG-13 - Teens 13 or older
Amanchu!: Yakusoku no Natsu to Atarashii Omoide no KotoAmanchu! Episode 13: The Story of the Promised Summer and New Memories,7.35,7781,2383,5184,1,Finished Airing,"Mar 29, 2017",,['add some'],"None found, add some",J.C.Staff,Manga,23 min.,PG-13 - Teens 13 or older
Ansatsu Kyoushitsu: 365-nichi no JikanAssassination Classroom The Movie: 365 Days' Time,7.35,50191,2384,1792,1,Finished Airing,"Nov 19, 2016",,['add some'],Funimation,Lerche,Manga,1 hr. 32 min.,PG-13 - Teens 13 or older
Ao no Exorcist: Kyoto Fujouou-henBlue Exorcist: Kyoto Saga,7.35,404608,2385,251,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Shueisha']",Aniplex of America,A-1 Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Aoki Hagane no Arpeggio: Ars NovaArpeggio of Blue Steel -Ars Nova-,7.35,69234,2386,1499,12,Finished Airing,"Oct 8, 2013 to Dec 24, 2013",Fall 2013,"['Sotsu', 'KlockWorx', 'flying DOG', 'Ultra Super Pictures', 'Showgate', 'Shounen Gahousha']","Discotek Media,       Crunchyroll",SANZIGEN,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Atashin'chiMy Family,7.35,2346,2387,8112,330,Finished Airing,"Apr 19, 2002 to Sep 19, 2009",Spring 2002,"['TV Asahi', 'Yumeta Company']","None found, add some",Shin-Ei Animation,Manga,25 min. per ep.,G - All Ages
BNABNA: Brand New Animal,7.35,198236,2388,641,12,Finished Airing,"Apr 9, 2020 to Jun 25, 2020",Spring 2020,"['Movic', 'Fuji TV', 'Ultra Super Pictures', 'BS Fuji', 'TOHO animation', 'Hakuhodo DY Media Partners', 'Bandai Spirits', 'Toho Music']","None found, add some",Trigger,Original,22 min. per ep.,PG-13 - Teens 13 or older
Boku no Hero Academia the Movie 1: Futari no Hero SpecialsMy Hero Academia: Two Heroes Specials,7.35,59399,2389,1664,2,Finished Airing,"Feb 13, 2019",,['add some'],"None found, add some",Bones,Manga,4 min. per ep.,PG-13 - Teens 13 or older
Captain Tsubasa,7.35,51568,2390,2228,128,Finished Airing,"Oct 13, 1983 to Mar 27, 1986",Fall 1983,['TV Tokyo'],"None found, add some",Tsuchida Productions,Manga,24 min. per ep.,G - All Ages
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,7.35,3096,2391,7677,52,Finished Airing,"Apr 3, 1989 to Mar 29, 1990",Spring 1989,['TV Tokyo'],"None found, add some",Telescreen,Other,23 min. per ep.,G - All Ages
Chiisana Penguin Lolo no BoukenThe Adventures of Scamper the Penguin,7.35,1814,2392,9447,3,Finished Airing,1986 to 1987,,"['Life Work', 'Soyuzmultfilm']",Enoki Films,Toei Animation,Original,30 min. per ep.,G - All Ages
Doraemon Movie 25: Nobita no Wan Nyan JikuudenDoraemon the Movie: Nobita in the Wan-Nyan Spacetime Odyssey,7.35,5210,2393,6779,1,Finished Airing,"Mar 6, 2004",,['add some'],"None found, add some",Shin-Ei Animation,Unknown,1 hr. 20 min.,PG - Children
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga YaruDragon Ball Z: Wrath of the Dragon,7.35,80917,2394,1675,1,Finished Airing,"Jul 15, 1995",,['add some'],Funimation,Toei Animation,Manga,51 min.,PG-13 - Teens 13 or older
Feng Ling Yu Xiu 2nd SeasonSoulmate Adventure Season 2,7.35,311,2395,12091,12,Finished Airing,"Jul 2, 2023 to Sep 10, 2023",,['bilibili'],"None found, add some",Sunflowers,Original,25 min. per ep.,PG-13 - Teens 13 or older
Future GPX Cyber Formula Saga,7.35,1106,2396,9904,8,Finished Airing,"Aug 1, 1996 to Jul 25, 1997",,['add some'],"None found, add some",Sunrise,Original,30 min. per ep.,R+ - Mild Nudity
Garo: Honoo no KokuinGARO: THE ANIMATION,7.35,51055,2397,1547,24,Finished Airing,"Oct 4, 2014 to Mar 28, 2015",Fall 2014,['Tohokushinsha Film Corporation'],Funimation,MAPPA,Original,24 min. per ep.,R - 17+ (violence & profanity)
Hadashi no Gen 2Barefoot Gen 2,7.35,5918,2398,5528,1,Finished Airing,"Jun 14, 1986",,['GEN Productions'],"Discotek Media,       Geneon Entertainment USA",Madhouse,Manga,1 hr. 26 min.,PG-13 - Teens 13 or older
Handa-kun,7.35,131648,2399,808,12,Finished Airing,"Jul 8, 2016 to Sep 23, 2016",Summer 2016,"['Square Enix', 'Lantis', 'TBS', 'DAX Production', 'Memory-Tech', 'TC Entertainment', 'Docomo Anime Store', 'NichiNare']",Funimation,Diomedéa,Manga,24 min. per ep.,PG-13 - Teens 13 or older
"Hataraku Saibou!! Saikyou no Teki, Futatabi. Karada no Naka wa ""Chou"" Oosawagi!Cells at Work!! The Return of the Strongest Enemy. A Huge Uproar in the Body’s Bowels!",7.35,2715,2401,4325,1,Finished Airing,"Sep 5, 2020",,"['Aniplex', 'Kodansha']","None found, add some",David Production,Manga,1 hr. 55 min.,PG-13 - Teens 13 or older
High School! KimengumiFunny Faces in High School,7.35,1215,2402,8872,86,Finished Airing,"Oct 20, 1985 to Oct 3, 1987",Fall 1985,['Tsuchida Productions'],"None found, add some","Gallop,       Studio Comet",Manga,25 min. per ep.,PG-13 - Teens 13 or older
Hikaru no Go: Sabaki no Ikkyoku! Inishie no Hana yo Sake!!,7.35,3011,2403,7269,1,Finished Airing,2002,,['add some'],"None found, add some",Pierrot,Manga,28 min.,G - All Ages
Hyouka: Motsubeki Mono waHyouka: What Should Be Had,7.35,112997,2404,1241,1,Finished Airing,"Jul 8, 2012",,['add some'],Funimation,Kyoto Animation,Light novel,25 min.,PG-13 - Teens 13 or older
Soukyuu no Fafner: Dead Aggressor - The Beyond Part 4,7.35,606,2405,9613,3,Finished Airing,"Nov 5, 2021",,['King Records'],"None found, add some","Production I.G,       I.Gzwei",Original,24 min. per ep.,PG-13 - Teens 13 or older
"Suisei no Gargantia: Meguru Kouro, HarukaGargantia on the Verdurous Planet: Far Beyond the Voyage",7.35,19104,2406,3351,2,Finished Airing,"Sep 27, 2014 to Apr 4, 2015",,['Bandai Visual'],"None found, add some",Production I.G,Original,53 min. per ep.,PG-13 - Teens 13 or older
Tengen Toppa Gurren Lagann: Mitee Mono wa Miteen da!!Gurren Lagann: There are Some Things I Just Have to See!!,7.35,19517,2407,3265,1,Finished Airing,"Feb 26, 2008",,['add some'],"None found, add some",Gainax,Original,24 min.,PG-13 - Teens 13 or older
The iDOLM@STER Cinderella Girls 2nd Season,7.35,17553,2408,3616,12,Finished Airing,"Jul 18, 2015 to Oct 17, 2015",Summer 2015,"['Aniplex', 'Half H.P Studio', 'Nippon Columbia', 'Bandai Namco Games', 'Anime Consortium Japan']","None found, add some",A-1 Pictures,Game,24 min. per ep.,PG-13 - Teens 13 or older
Toaru Majutsu no IndexA Certain Magical Index,7.35,384164,2409,222,24,Finished Airing,"Oct 5, 2008 to Mar 19, 2009",Fall 2008,"['Geneon Universal Entertainment', 'Square Enix', 'AT-X', 'ASCII Media Works', 'Kadokawa Contents Gate']",Funimation,J.C.Staff,Light novel,23 min. per ep.,R - 17+ (violence & profanity)
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,7.35,12251,2410,3454,Unknown,Currently Airing,"Dec 29, 2008 to ?",,['Maikaze'],"None found, add some","None found, add some",Game,22 min.,PG-13 - Teens 13 or older
Urusei Yatsura OVA,7.35,2679,2411,6909,11,Finished Airing,"Sep 24, 1985 to Jun 21, 1991",,['add some'],AnimEigo,"Madhouse,       Studio Deen,       Magic Bus",Manga,32 min. per ep.,PG-13 - Teens 13 or older
World Dai StarStella of the Theater: World Dai Star,7.35,4326,2412,5700,12,Finished Airing,"Apr 9, 2023 to Jun 25, 2023",Spring 2023,"['Studio Hibari', 'Lantis', 'Good Smile Company', 'Egg Firm', 'Hawkeye', 'GREE Entertainment', 'Bandai Namco Filmworks', 'Bandai Namco Music Live', 'Daito Giken']","None found, add some",Lerche,Mixed media,24 min. per ep.,PG-13 - Teens 13 or older
Yao Shen Ji 4th Season,7.34,2857,2421,7416,52,Finished Airing,"Apr 8, 2020 to Sep 27, 2020",,['bilibili'],"None found, add some",Ruo Hong Culture,Novel,8 min. per ep.,PG-13 - Teens 13 or older
Yomigaeru Sora: Rescue Wings,7.35,4400,2413,5368,12,Finished Airing,"Jan 9, 2006 to Mar 27, 2006",Winter 2006,"['Bandai Visual', 'Lantis', 'Imagine']","None found, add some",J.C.Staff,Original,23 min. per ep.,PG-13 - Teens 13 or older
Yowamushi Pedal: Special Ride,7.35,9393,2414,4819,1,Finished Airing,"Aug 8, 2013",,['TOHO animation'],"None found, add some",TMS Entertainment,Manga,20 min.,PG-13 - Teens 13 or older
Yuyushiki,7.35,39902,2415,1930,12,Finished Airing,"Apr 10, 2013 to Jun 26, 2013",Spring 2013,"['Geneon Universal Entertainment', 'Magic Capsule', 'Showgate', 'Houbunsha', 'Exit Tunes']",Sentai Filmworks,Kinema Citrus,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older
Slayers SpecialsSlayers: The Book of Spells,7.34,9832,2416,4805,3,Finished Airing,"Jul 25, 1996 to May 25, 1997",,"['Kadokawa Shoten', 'Marubeni']",ADV Films,J.C.Staff,Light novel,29 min. per ep.,PG-13 - Teens 13 or older
Strike Witches: Road to Berlin,7.34,7638,2417,4189,12,Finished Airing,"Oct 8, 2020 to Dec 24, 2020",Fall 2020,"['Magic Capsule', 'Nippon Columbia', 'Docomo Anime Store', 'Sammy', 'Kadokawa Media House', 'DeNA', 'Kadokawa']",Funimation,David Production,Original,23 min. per ep.,PG-13 - Teens 13 or older
Trinity Seven Movie 2: Heavens Library to Crimson Lord,7.34,50986,2418,1903,1,Finished Airing,"Mar 29, 2019",,['Sotsu'],"None found, add some",Seven Arcs Pictures,Manga,1 hr.,PG-13 - Teens 13 or older
Trinity Seven: Nanatsu no Taizai to Nana MadoushiTrinity Seven: The Seven Deadly Sins and The Seven Mages,7.34,74038,2419,1583,1,Finished Airing,"Mar 25, 2015",,['Avex Pictures'],"None found, add some",Seven Arcs Pictures,Manga,26 min.,PG-13 - Teens 13 or older
Un-Go,7.34,58279,2420,1486,11,Finished Airing,"Oct 14, 2011 to Dec 23, 2011",Fall 2011,"['Dentsu', 'Fuji TV', 'TOHO', 'Sony Music Entertainment', 'Fujipacific Music']",Sentai Filmworks,Bones,Novel,24 min. per ep.,R - 17+ (violence & profanity)
Zhu XianJade Dynasty,7.34,842,2422,9969,26,Finished Airing,"Aug 2, 2022 to Jan 17, 2023",,['Tencent Penguin Pictures'],"None found, add some",Cloud Art,Web novel,20 min. per ep.,PG-13 - Teens 13 or older
Kaze no Shoujo Emily,7.34,2493,2423,7007,26,Finished Airing,"Apr 7, 2007 to Sep 29, 2007",Spring 2007,['NHK'],"None found, add some",TMS Entertainment,Novel,25 min. per ep.,G - All Ages
Kidou Shinseiki Gundam XAfter War Gundam X,7.34,15749,2424,3633,39,Finished Airing,"Apr 5, 1996 to Dec 28, 1996",Spring 1996,"['TV Asahi', 'Sotsu']",Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older
Kore wa Zombie desu ka?Is This a Zombie?,7.34,341627,2425,335,12,Finished Airing,"Jan 11, 2011 to Mar 30, 2011",Winter 2011,"['Kadokawa Shoten', 'AT-X', 'Kadokawa Pictures Japan', 'KlockWorx', 'flying DOG']",Funimation,Studio Deen,Light novel,24 min. per ep.,R - 17+ (violence & profanity)
Koukaku Kidoutai Arise: Ghost in the Shell - Border:3 Ghost TearsGhost in the Shell: Arise - Border 3: Ghost Tears,7.34,20928,2426,3192,1,Finished Airing,"Jun 28, 2014",,"['Bandai Visual', 'Dentsu', 'Kodansha', 'flying DOG', 'TOHO animation']",Funimation,Production I.G,Manga,58 min.,R - 17+ (violence & profanity)
Mahou no Tenshi Creamy MamiMagical Angel Creamy Mami,7.34,4179,2427,5352,52,Finished Airing,"Jul 1, 1983 to Jun 29, 1984",Summer 1983,['Kodansha'],"None found, add some",Pierrot,Original,24 min. per ep.,G - All Ages
Mai-Otome 0: S.ifrMy-Otome 0: S.ifr,7.34,7200,2428,5395,3,Finished Airing,"Feb 21, 2008 to Nov 21, 2008",,['add some'],"Funimation,       Bandai Entertainment",Sunrise,Original,28 min. per ep.,R+ - Mild Nudity
Miracle☆Girls,7.34,1534,2429,8059,51,Finished Airing,"Jan 8, 1993 to Dec 24, 1993",Winter 1993,"['Asatsu DK', 'Japan Taps']","None found, add some",Ajia-do,Manga,24 min. per ep.,G - All Ages
Mononogatari 2nd SeasonMalevolent Spirits: Mononogatari 2nd Season,7.34,12189,2430,3926,12,Finished Airing,"Jul 4, 2023 to Sep 19, 2023",Summer 2023,"['Shogakukan-Shueisha Productions', 'Shogakukan Music & Digital Entertainment', 'BS11', 'Quaras', 'GREE Entertainment', 'Bandai Namco Music Live', 'Happinet Phantom Studios']","None found, add some",Bandai Namco Pictures,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Nakitai Watashi wa Neko wo KaburuA Whisker Away,7.34,257724,2431,527,1,Finished Airing,"Jun 18, 2020",,"['Fuji TV', 'TOHO', 'BS Fuji', 'TOHO animation', 'Universal Music Japan', 'Fuji Creative', 'Kadokawa', 'KDDI', 'Twin Engine', 'Dentsu Meitetsu Communications']","None found, add some",Studio Colorido,Original,1 hr. 44 min.,PG-13 - Teens 13 or older
Nogizaka Haruka no Himitsu Finale ♪Haruka Nogizaka's Secret Finale,7.34,19953,2432,3593,4,Finished Airing,"Aug 19, 2012 to Nov 28, 2012",,['add some'],"None found, add some",Diomedéa,Light novel,24 min. per ep.,PG-13 - Teens 13 or older
Ojamajo DoremiMagical DoReMi,7.34,23859,2433,2893,51,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",Winter 1999,['Asahi Broadcasting'],4Kids Entertainment,Toei Animation,Original,24 min. per ep.,G - All Ages
Ookiku Furikabutte: Natsu no Taikai-hen – MokuhyouBig Windup! 2 Episode 12.5,7.34,3961,2434,6703,1,Finished Airing,"Dec 22, 2010",,['add some'],Nozomi Entertainment,A-1 Pictures,Manga,24 min.,G - All Ages
Otome Game Sekai wa Mob ni Kibishii Sekai desuTrapped in a Dating Sim: The World of Otome Games is Tough for Mobs,7.34,150192,2435,822,12,Finished Airing,"Apr 3, 2022 to Jun 19, 2022",Spring 2022,"['AT-X', 'Sammy', 'bilibili', 'Kadokawa Media House', 'Kadokawa', 'Micro Magazine Publishing', 'Micro House']",Crunchyroll,ENGI,Light novel,23 min. per ep.,PG-13 - Teens 13 or older
Owaranai SeraphSeraph of the Endless,7.34,40047,2436,2132,9,Finished Airing,"Jun 24, 2015 to Sep 26, 2015",,['add some'],Funimation,Wit Studio,Manga,2 min. per ep.,PG-13 - Teens 13 or older
Pandora Hearts Omake,7.34,21461,2437,3178,9,Finished Airing,"Jul 24, 2009 to Mar 25, 2010",,"['Square Enix', 'flying DOG']","None found, add some",Xebec,Manga,4 min. per ep.,PG-13 - Teens 13 or older
Pokemon Movie 02: Maboroshi no Pokemon Lugia BakutanPokémon: The Movie 2000,7.34,123601,2438,1226,1,Finished Airing,"Jul 17, 1999",,['Studio Jack'],"4Kids Entertainment,       Warner Bros. Pictures",OLM,Game,1 hr. 20 min.,PG - Children
Rekka no HonooFlame of Recca,7.34,28012,2439,2599,42,Finished Airing,"Jul 19, 1997 to Jul 10, 1998",Summer 1997,['Fuji TV'],"VIZ Media,       Discotek Media",Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Sakurada ResetSagrada Reset,7.34,42390,2440,1543,24,Finished Airing,"Apr 5, 2017 to Sep 13, 2017",Spring 2017,"['flying DOG', 'Asmik Ace', 'Showgate', 'Teichiku Entertainment', 'Hakuhodo DY Music & Pictures', 'Kansai Telecasting', 'BS11', 'Sony PCL', 'Radio Osaka', 'A-Sketch', 'Parco', 'e-notion', 'Kadokawa']",Sentai Filmworks,David Production,Light novel,25 min. per ep.,PG-13 - Teens 13 or older
Seitokai no Ichizon Lv.2Student Council's Discretion Level 2,7.34,35269,2441,2501,10,Finished Airing,"Oct 13, 2012 to Dec 15, 2012",,"['Kadokawa Shoten', 'AMG MUSIC']",Sentai Filmworks,AIC,Light novel,24 min. per ep.,PG-13 - Teens 13 or older
Shakugan no Shana SShakugan no Shana S: OVA Series,7.34,41122,2442,2253,4,Finished Airing,"Oct 23, 2009 to Sep 29, 2010",,"['Geneon Universal Entertainment', 'ASCII Media Works', 'Showgate']",Funimation,J.C.Staff,Light novel,28 min. per ep.,PG-13 - Teens 13 or older
Shippuu! Iron Leaguer,7.34,488,2443,11611,52,Finished Airing,"Apr 6, 1993 to Mar 29, 1994",Spring 1993,"['TV Tokyo', 'Sotsu']","None found, add some",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older
Afro Samurai: Resurrection,7.34,60635,2444,1963,1,Finished Airing,"Jan 25, 2009",,['add some'],Funimation,Gonzo,Original,1 hr. 40 min.,R+ - Mild Nudity
Bokutachi wa Benkyou ga Dekinai!We Never Learn!: BOKUBEN Season 2,7.34,167000,2445,799,13,Finished Airing,"Oct 6, 2019 to Dec 29, 2019",Fall 2019,"['Aniplex', 'Movic', 'Magic Capsule', 'Shueisha', 'BS11', 'ADK']",Aniplex of America,"Silver,       Arvo Animation",Manga,23 min. per ep.,PG-13 - Teens 13 or older
City Hunter: Bay City Wars,7.34,3606,2446,6724,1,Finished Airing,"Aug 25, 1990",,['YTV'],"ADV Films,       Discotek Media",Sunrise,Manga,45 min.,PG-13 - Teens 13 or older
Code Geass: Boukoku no Akito 1 - Yokuryuu wa MaioritaCode Geass: Akito the Exiled - The Wyvern Arrives,7.34,90977,2447,1287,1,Finished Airing,"Jul 16, 2012",,"['Bandai Visual', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']",Funimation,Sunrise,Original,51 min.,R - 17+ (violence & profanity)
Gamba no BoukenAdventure of Gamba,7.34,1343,2448,8699,26,Finished Airing,"Apr 7, 1975 to Sep 29, 1975",Spring 1975,['Nippon Television Network'],"None found, add some",Tokyo Movie Shinsha,Novel,24 min. per ep.,G - All Ages
Gatchaman Crowds: Embrace,7.34,8143,2449,5049,1,Finished Airing,"Jan 22, 2014",,['VAP'],"None found, add some",Tatsunoko Production,Original,23 min.,PG-13 - Teens 13 or older
Glass no Kamen,7.34,2680,2450,6496,23,Finished Airing,"Apr 9, 1984 to Sep 24, 1984",Spring 1984,['Studio Jack'],Maiden Japan,Eiken,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Hanhua Riji 2nd SeasonGod Troubles Me 2nd Season,7.35,1185,2400,10151,12,Finished Airing,"Nov 15, 2020 to Jan 24, 2021",,"['bilibili', 'Liyu Culture', 'Yunyi Animation ', 'Haowan Dongman', 'Qizhiying Culture']","None found, add some",L²Studio,Original,14 min. per ep.,PG-13 - Teens 13 or older
Heya Camp△Room Camp,7.34,43199,2451,2083,12,Finished Airing,"Jan 6, 2020 to Mar 23, 2020",Winter 2020,"['Sotsu', 'AT-X', 'KlockWorx', 'Houbunsha', 'MAGES.', 'BS11', 'DeNA', 'FuRyu']","None found, add some",C-Station,Manga,3 min. per ep.,PG-13 - Teens 13 or older
Huyao Xiao Hongniang: Nan GuoFox Spirit Matchmaker 6th Season,7.34,2031,2452,7072,26,Finished Airing,"Nov 24, 2017 to Jun 22, 2018",,"['Tencent Animation & Comics', 'bilibili', 'Tencent Penguin Pictures']","None found, add some",Haoliners Animation League,Manga,19 min. per ep.,PG-13 - Teens 13 or older
Idol Time PriPara,7.34,1978,2453,7302,51,Finished Airing,"Apr 4, 2017 to Mar 27, 2018",Spring 2017,"['TV Tokyo', 'Nihon Ad Systems', 'Avex Pictures', 'Takara Tomy A.R.T.S', 'Shogakukan']","None found, add some","Tatsunoko Production,       Dongwoo A&E",Game,24 min. per ep.,PG - Children
Jaku-Chara Tomozaki-kun 2nd StageBottom-Tier Character Tomozaki 2nd Stage,7.34,2752,2454,2568,13,Currently Airing,"Jan 3, 2024 to ?",Winter 2024,"['Pony Canyon', 'AT-X', 'KlockWorx', 'Asmik Ace', 'Tokyo MX', 'BS11', 'APDREAM', 'arma bianca', 'Bit grooove promotion', 'Dream Shift', 'Happinet Phantom Studios', 'Bergamo']","None found, add some",Project No.9,Light novel,23 min. per ep.,PG-13 - Teens 13 or older
Jibaku-kunBucky: The Incredible Kid,7.34,6262,2455,5589,26,Finished Airing,"Oct 5, 1999 to Mar 28, 2000",Fall 1999,['add some'],Enoki Films,Trans Arts,Manga,22 min. per ep.,PG-13 - Teens 13 or older
Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no MonogatariThe Journey,7.34,4390,2456,5642,1,Finished Airing,"Jun 25, 2021",,"['Arch', 'Manga Productions']","None found, add some","Toei Animation,       Yokohama Animation Lab",Original,1 hr. 49 min.,R - 17+ (violence & profanity)
Kaginado Season 2KAGI-NADO,7.34,5291,2457,5664,12,Finished Airing,"Apr 13, 2022 to Jun 29, 2022",Spring 2022,['add some'],"None found, add some",LIDENFILMS Kyoto Studio,Original,4 min. per ep.,PG-13 - Teens 13 or older
"""Bungaku Shoujo"" Movie",7.33,27580,2458,2570,1,Finished Airing,"May 1, 2010",,"['Lantis', 'Pony Canyon', 'Enterbrain', 'Kadokawa Contents Gate', 'T.O Entertainment']","None found, add some",Production I.G,Light novel,1 hr. 40 min.,PG-13 - Teens 13 or older
Aa! Megami-sama! (2011)Ah! My Goddess: Together Forever,7.33,9615,2459,4526,3,Finished Airing,"Feb 23, 2011 to Aug 23, 2013",,['APPP'],"None found, add some",AIC,Manga,28 min. per ep.,PG-13 - Teens 13 or older
Allison to LilliaAllison & Lillia,7.33,15244,2460,3320,26,Finished Airing,"Apr 3, 2008 to Oct 2, 2008",Spring 2008,['add some'],Sentai Filmworks,Madhouse,Light novel,24 min. per ep.,PG-13 - Teens 13 or older
