Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Demographics,Serialization,Author
No Game No Life: Practical War Game (No Game No Life Practical War Game),7.99,828,756,5148,"3,732",38,1,6,Finished,"Dec  23, 2016","['Comedy', 'Fantasy']",[],[],None,"Kamiya, Yuu (Story & Art)"
Chi no Wadachi (Blood on the Tracks),7.99,32112,757,130,"101,348","3,129",17,153,Finished,"Feb  24, 2017 to Sep  8, 2023","['Drama', 'Suspense']",[],['Seinen'],Big Comic Superior,"Oshimi, Shuuzou (Story & Art)"
Shinigami wo Tabeta Shoujo,7.99,486,758,6243,"3,009",84,2,35,Finished,"Dec  15, 2012",[],"['Military', 'Super Power']",[],None,"Chomoran (Art), Nanasawa, Matari (Story)"
Doupo Cangqiong (Battle Through the Heavens),7.99,8651,759,791,"22,205",684,Unknown,Unknown,Publishing,Jun  2012 to ?,"['Action', 'Adventure', 'Comedy', 'Romance', 'Supernatural']",[],[],None,"Li, Hu (Story), Ren, Xiang (Art)"
Kono Subarashii Sekai ni Shukufuku wo! (KonoSuba: God's Blessing on This Wonderful World!),7.99,6248,760,756,"23,053",720,Unknown,Unknown,Publishing,"Sep  9, 2014 to ?","['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",['Shounen'],Dragon Age,"Watari, Masahito (Art), Akatsuki, Natsume (Story)"
Tokyo Babylon,7.99,7313,761,865,"20,331",807,7,18,Finished,1990 to  1993,"['Drama', 'Fantasy', 'Supernatural']",[],['Shoujo'],Wings,CLAMP (Story & Art)
Life,7.99,5894,762,980,"18,040",587,20,80,Finished,"Apr  13, 2002 to Feb  13, 2009","['Award Winning', 'Drama', 'Slice of Life']","['Psychological', 'School']",['Shoujo'],Bessatsu Friend,"Suenobu, Keiko (Story & Art)"
Mudazumonaki Kaikaku (The Legend of Koizumi),7.99,2103,763,2142,"9,059",172,16,144,Finished,"Feb  8, 2006 to  2015","['Comedy', 'Drama']",[],[],Kindai Mahjong,"Oowada, Hideki (Story & Art)"
Seitokai Yakuindomo,7.99,6138,764,762,"22,914",591,22,Unknown,Finished,"May  19, 2007 to Nov  17, 2021",[],"['Gag Humor', 'School']",['Shounen'],Shounen Magazine (Weekly),"Ujiie, Tozen (Story & Art)"
Super Lovers,7.99,8367,765,752,"23,130",778,Unknown,Unknown,Publishing,"Oct  30, 2009 to ?","['Boys Love', 'Comedy', 'Drama']",[],[],Emerald,"Abe, Miyuki (Story & Art)"
Ao no Hako (Blue Box),7.99,18954,766,281,"56,514","1,751",Unknown,Unknown,Publishing,"Apr  12, 2021 to ?","['Romance', 'Sports']","['School', 'Team Sports']",['Shounen'],Shounen Jump (Weekly),"Miura, Kouji (Story & Art)"
Viral Hit,7.99,6751,767,1060,"16,972",499,Unknown,Unknown,Publishing,"Nov  15, 2019 to ?",[],"['Martial Arts', 'School']",[],Naver Webtoon,"Kim, Jung-Hyun (Art), Park, Tae-Jun (Story)"
How to Win My Husband Over,7.99,2471,768,2523,"7,786",216,Unknown,Unknown,Publishing,"Oct  21, 2021 to ?","['Drama', 'Fantasy']","['Isekai', 'Psychological', 'Villainess']",[],KakaoPage,"Nyangi-wa Hyangsinnyo (Story), Siru (Art)"
Operation: True Love,7.98,3267,769,1953,"9,767",406,Unknown,Unknown,Publishing,"Apr  8, 2022 to ?","['Romance', 'Supernatural']",[],[],Naver Webtoon,"Kkokkalee (Story), Deuldeom (Art)"
Konjiki no Gash!! 2,7.98,531,770,8341,"2,127",25,Unknown,Unknown,Publishing,"Mar  14, 2022 to ?","['Action', 'Adventure', 'Comedy', 'Supernatural']",[],[],None,"Raiku, Makoto (Story & Art)"
Kami nomi zo Shiru Sekai,7.98,1410,771,4699,"4,122",243,2,10,Finished,"May  19, 2009 to May  18, 2010","['Comedy', 'Romance', 'Supernatural']",[],[],None,"Arisawa, Mamizu (Story), Wakaki, Tamiki (Art)"
Kubera,7.98,3760,772,1377,"13,797",485,Unknown,Unknown,Publishing,"Feb  7, 2010 to ?","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",[],['Shounen'],Naver Webtoon,Currygom (Story & Art)
Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue,7.98,2340,773,1878,"10,126",115,Unknown,Unknown,Publishing,"Sep  25, 2012 to ?","['Comedy', 'Romance']","['Love Polygon', 'School']",['Seinen'],Big Gangan,"Kazuki, Rechi (Art), Watari, Wataru (Story)"
Ajin (Ajin: Demi-Human),7.98,44172,774,86,"130,280","4,096",17,84,Finished,"Jul  6, 2012 to Feb  5, 2021","['Action', 'Horror', 'Mystery', 'Supernatural']",[],['Seinen'],good! Afternoon,"Sakurai, Gamon (Story & Art), Miura, Tsuina (Story)"
Kyoukai no Kanata,7.98,617,775,2834,"7,007",81,3,Unknown,On Hiatus,"Jun  9, 2012 to Oct  2, 2013","['Fantasy', 'Slice of Life', 'Supernatural']",[],[],None,"Kamoi, Tomoyo (Art), Torii, Nagomu (Story)"
Lookism,7.98,22329,776,294,"53,262","2,438",Unknown,Unknown,Publishing,"Nov  20, 2014 to ?","['Action', 'Comedy', 'Drama', 'Supernatural']",[],[],Naver Webtoon,"Park, Tae-Jun (Story & Art)"
Boku no Hero Academia the Movie: Heroes:Rising (My Hero Academia the Movie: Heroes:Rising),7.98,840,777,7497,"2,428",19,1,7,Finished,"Dec  20, 2019",[],[],['Shounen'],None,"Kuroda, Yousuke (Story), Horikoshi, Kouhei (Story), Yoshi, Anri (Story)"
Itou Junji Jisen Kessakushuu (Shiver: Junji Ito Selected Stories),7.98,3571,778,2906,"6,825",104,1,10,Finished,"Nov  13, 1990 to Oct  7, 2015",[],[],['Shoujo'],Halloween,"Itou, Junji (Story & Art)"
Ranma ½ (Ranma 1/2),7.98,24569,779,312,"49,911","2,958",38,407,Finished,"Aug  5, 1987 to Feb  21, 1996","['Action', 'Comedy', 'Romance', 'Ecchi']","['Harem', 'Martial Arts', 'School']",['Shounen'],Shounen Sunday,"Takahashi, Rumiko (Story & Art)"
School Rumble,7.98,13488,780,583,"29,404","1,503",22,345,Finished,"Oct  23, 2002 to Jul  23, 2008","['Comedy', 'Romance']","['Gag Humor', 'Love Polygon', 'School']",['Shounen'],Shounen Magazine (Weekly),"Kobayashi, Jin (Story & Art)"
Mekakushi no Kuni (Land of the Blindfolded),7.98,3942,781,1879,"10,121",157,9,48,Finished,"Dec  10, 1998 to Jan  24, 2004","['Drama', 'Romance', 'Supernatural']",[],['Shoujo'],LaLa,"Tsukuba, Sakura (Story & Art)"
Koukaku Kidoutai:  (The Ghost in the Shell),7.98,12886,782,424,"38,810","1,366",1,11,Finished,Mar  1989 to Sep  1991,"['Action', 'Sci-Fi']","['Adult Cast', 'Detective', 'Psychological']",['Seinen'],Young Magazine Kaizokuban,"Shirow, Masamune (Story & Art)"
Bokura ga Ita (We Were There),7.98,17311,783,327,"48,388","1,794",16,70,Finished,"Apr  13, 2002 to Feb  13, 2012","['Award Winning', 'Drama', 'Romance']",[],['Shoujo'],Betsucomi,"Obata, Yuuki (Story & Art)"
Cesare: Hakai no Souzousha,7.98,1286,784,3010,"6,621",110,13,106,Finished,"Mar  24, 2005 to Nov  25, 2021",[],[],['Seinen'],Morning,"Souryo, Fuyumi (Story & Art)"
Haruka na Machi e (A Distant Neighborhood),7.98,8130,785,854,"20,707",418,2,16,Finished,"Apr  10, 1998 to Nov  25, 1998","['Drama', 'Slice of Life']",[],['Seinen'],Big Comic,"Taniguchi, Jiro (Story & Art)"
Touhou Bougetsushou: Cage in Lunatic Runagate.,7.98,703,786,7809,"2,308",46,1,9,Finished,"Jun  25, 2007 to Jun  25, 2009",[],"['Mythology', 'Super Power']",[],None,"ZUN (Story), Tokiame (Art)"
Nurarihyon no Mago (Nura: Rise of the Yokai Clan),7.98,18163,787,386,"42,355","1,182",25,218,Finished,"Mar  10, 2008 to Dec  28, 2012","['Action', 'Supernatural']",[],['Shounen'],Shounen Jump (Weekly),"Shiibashi, Hiroshi (Story & Art)"
Strobe Edge,7.98,30393,788,239,"64,735","2,194",10,43,Finished,"Jun  13, 2007 to Aug  11, 2010",[],"['Love Polygon', 'School']",['Shoujo'],Bessatsu Margaret,"Sakisaka, Io (Story & Art)"
Rozen Maiden (2008),7.98,2901,789,2217,"8,762",282,10,68,Finished,"Apr  17, 2008 to Jan  23, 2014","['Drama', 'Fantasy', 'Supernatural']",[],['Seinen'],Young Jump,PEACH‐PIT (Story & Art)
Slayers,7.98,1298,790,4693,"4,130",138,Unknown,Unknown,Publishing,"Jan  17, 1990 to ?","['Action', 'Adventure', 'Comedy', 'Fantasy']",[],[],None,"Kanzaka, Hajime (Story), Araizumi, Rui (Art)"
Kattobi Itto,7.98,426,791,14091,"1,044",29,46,165,Finished,1986 to  1999,"['Comedy', 'Sports']",[],['Shounen'],Shounen Jump (Monthly),"Monma, Motoki (Story & Art)"
Id,7.97,4402,792,1481,"12,956",322,29,178,On Hiatus,2002 to  2013,"['Action', 'Adventure', 'Fantasy']",[],[],None,"Kim, Daewoo (Story)"
Tsuki no Shippo (Tail of the Moon),7.97,5343,793,1728,"11,129",377,15,105,Finished,"Mar  25, 2003 to Aug  24, 2007","['Adventure', 'Comedy', 'Fantasy', 'Romance']",[],['Shoujo'],Margaret,"Ueda, Rinko (Story & Art)"
Penguin Kakumei (Penguin Revolution),7.97,4597,794,1958,"9,748",154,7,35,Finished,"Aug  24, 2004 to Dec  22, 2007","['Comedy', 'Romance']","['Love Polygon', 'Showbiz']",['Shoujo'],LaLa,"Tsukuba, Sakura (Story & Art)"
Candy Candy,7.97,1626,795,4293,"4,542",169,9,44,Finished,Mar  1975 to Feb  1979,"['Award Winning', 'Drama', 'Romance']",[],['Shoujo'],Nakayoshi,"Igarashi, Yumiko (Art), Nagita, Keiko (Story)"
Beast Master,7.97,34368,796,257,"60,328","1,747",2,9,Finished,"Sep  13, 2006 to Feb  12, 2007","['Comedy', 'Romance']",[],['Shoujo'],Betsucomi,"Motomi, Kyousuke (Story & Art)"
Shoot!,7.97,364,797,13857,"1,069",20,33,Unknown,Finished,"Aug  8, 1990 to Sep  18, 1996","['Award Winning', 'Sports']",[],['Shounen'],Shounen Magazine (Weekly),"Ooshima, Tsukasa (Story & Art)"
Kaijuu no Kodomo (Children of the Sea),7.97,3263,798,1150,"15,748",438,5,43,Finished,"Dec  24, 2005 to Sep  24, 2011","['Drama', 'Mystery', 'Supernatural']",[],['Seinen'],Ikki,"Igarashi, Daisuke (Story & Art)"
Doraemon Plus,7.97,900,799,10057,"1,672",14,6,125,Finished,1970 to  1990,"['Comedy', 'Sci-Fi']",[],['Shounen'],Shougaku Yonensei,"Fujiko, Fujio F. (Story & Art)"
Reimei no Arcana (Dawn of the Arcana),7.97,17011,800,382,"43,034","1,119",13,65,Finished,"Jan  24, 2009 to Jun  24, 2013","['Drama', 'Fantasy', 'Romance']",[],['Shoujo'],Cheese!,"Touma, Rei (Story & Art)"
Gekiga Hyouryuu (A Drifting Life),7.97,1421,801,3084,"6,444",98,2,48,Finished,"Nov  20, 2008 to Dec  1, 2008","['Award Winning', 'Comedy', 'Drama', 'Romance', 'Slice of Life']","['Historical', 'Memoir', 'Psychological', 'School']",['Seinen'],None,"Tatsumi, Yoshihiro (Story & Art)"
D-Frag!,7.97,8899,802,566,"29,998","1,112",Unknown,Unknown,Publishing,"Jul  27, 2008 to ?",[],"['Romantic Subtext', 'School']",['Seinen'],Comic Alive,"Haruno, Tomoya (Story & Art)"
Positively Yours,7.97,3443,803,2972,"6,687",119,8,82,Finished,"Jun  8, 2020 to Mar  14, 2022",[],[],[],None,"Lee, Jung (Story), Kangki (Art)"
"Jitsu wa Watashi wa (My Monster Secret: ""Actually, I am..."")",7.97,16051,804,339,"46,902","1,536",22,196,Finished,"Jan  31, 2013 to Feb  16, 2017","['Comedy', 'Fantasy', 'Romance', 'Supernatural']",[],['Shounen'],Shounen Champion (Weekly),"Masuda, Eiji (Story & Art)"
Saenai Heroine no Sodatekata: Koisuru Metronome,7.97,4065,805,1743,"11,009",307,10,51,Finished,"Aug  24, 2013 to Apr  25, 2018","['Comedy', 'Drama', 'Romance']",[],['Seinen'],Big Gangan,"Musha, Sabu (Art), Maruto, Fumiaki (Story)"
Sword Art Online: Project Alicization,7.97,2030,806,2734,"7,250",139,5,30,Finished,"Aug  9, 2016 to Jun  11, 2021","['Action', 'Fantasy']",[],[],Web DenPlay Comic,"Yamada, Koutarou (Art), Kawahara, Reki (Story)"
Kimi no Na wa. Another Side: Earthbound (Your Name. Another Side: Earthbound),7.97,1680,807,2954,"6,727",78,1,4,Finished,"Jul  30, 2016","['Drama', 'Supernatural']",[],[],None,"Tanaka, Masayoshi (Art), Kanou, Arata (Story), Asahikawa, Hiyori (Art)"
Hypnosis Mic: Before the Battle - The Dirty Dawg,7.97,759,808,7049,"2,610",96,4,21,Finished,"Dec  17, 2018 to Jul  17, 2020",[],[],['Shounen'],Shounen Magazine Edge,"Momose, Yuuichirou (Story), Karasuzuki, Rui (Story & Art)"
Yowamushi Pedal,7.97,4454,809,1307,"14,439",413,Unknown,Unknown,Publishing,"Feb  7, 2008 to ?","['Award Winning', 'Sports']",[],['Shounen'],Shounen Champion (Weekly),"Watanabe, Wataru (Story & Art)"
"Maoyuu Maou Yuusha: 'Kono Ware no Mono to Nare, Yuusha yo' 'Kotowaru!' (MAOYU: Archenemy and Hero ""Become mine, Hero"" ""I refuse!"")",7.97,4536,810,1072,"16,855",247,18,59,Finished,"Apr  26, 2011 to Apr  26, 2016","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",[],[],Comp Ace,"Ishida, Akira (Art), Touno, Mamare (Story)"
Sakurasou no Pet na Kanojo,7.97,3568,811,1109,"16,210",398,13,56,Finished,"Jan  10, 2010 to Mar  8, 2014","['Comedy', 'Romance', 'Slice of Life']",[],[],None,"Kamoshida, Hajime (Story), Mizoguchi, Keiji (Art)"
Oda Nobuna no Yabou,7.97,753,812,4976,"3,879",73,22,144,Finished,"Aug  31, 2009 to Jun  20, 2019","['Comedy', 'Romance']","['Historical', 'Time Travel']",[],None,"Kasuga, Mikage (Story), Miyama-Zero (Art)"
Kanshikan Tsunemori Akane (Inspector Akane Tsunemori),7.97,3272,813,1451,"13,201",170,6,27,Finished,"Nov  2, 2012 to Dec  4, 2014","['Action', 'Drama', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective', 'Psychological']",['Shounen'],Jump SQ.,"Urobuchi, Gen (Story), Miyoshi, Hikaru (Art)"
Nijiiro Days (Rainbow Days),7.96,13186,814,414,"39,936",953,16,80,Finished,"Dec  1, 2011 to May  11, 2018","['Comedy', 'Romance']",[],['Shoujo'],Bessatsu Margaret,"Mizuno, Minami (Story & Art)"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,7.96,562,815,6857,"2,698",50,2,30,Finished,Mar  2011 to Jul  2011,[],[],[],None,"Okada, Mari (Story), Tanaka, Masayoshi (Art)"
Kimi wa Pet (Tramps Like Us),7.96,8005,816,805,"21,751",594,14,82,Finished,"May  8, 2000 to Oct  25, 2005","['Award Winning', 'Comedy', 'Drama', 'Romance']",[],['Josei'],Kiss,"Ogawa, Yayoi (Story & Art)"
Yamato Nadeshiko Shichihenge♥ (The Wallflower: Yamatonadeshiko Shichihenge),7.96,10727,817,643,"26,938","1,102",36,148,Finished,"Mar  13, 2000 to Jan  13, 2015","['Drama', 'Romance']","['Reverse Harem', 'School']",['Shoujo'],Bessatsu Friend,"Hayakawa, Tomoko (Story & Art)"
Ludwig Kakumei,7.96,5274,818,1535,"12,594",411,4,16,Finished,"Nov  1998 to Jul  26, 2007","['Adventure', 'Drama', 'Fantasy', 'Horror', 'Romance', 'Supernatural']",[],['Shoujo'],Bessatsu Hana to Yume,"Yuki, Kaori (Story & Art)"
Deep Love: Ayu no Monogatari,7.96,9327,819,990,"17,904",433,2,8,Finished,"May  13, 2004 to Sep  13, 2004",[],[],['Shoujo'],Bessatsu Friend,"Yoshi (Story), Yoshii, Yuu (Art)"
Kubikiri Asa (Samurai Executioner),7.96,1334,820,2836,"6,992",76,10,54,Finished,1972 to  1976,"['Action', 'Drama']","['Historical', 'Samurai']",[],Shuukan Gendai,"Koike, Kazuo (Story), Kojima, Goseki (Art)"
Crayon Shin-chan (Crayon Shinchan),7.96,2552,821,3549,"5,599",259,50,1126,Finished,Aug  1990 to Mar  2010,"['Comedy', 'Slice of Life']",[],['Seinen'],Manga Action,"Usui, Yoshito (Story & Art)"
Psyren,7.96,40293,822,146,"92,904","3,121",16,145,Finished,"Dec  3, 2007 to Nov  29, 2010","['Action', 'Adventure', 'Romance', 'Sci-Fi', 'Supernatural']","['High Stakes Game', 'Psychological', 'Strategy Game', 'Super Power']",['Shounen'],Shounen Jump (Weekly),"Iwashiro, Toshiaki (Story & Art)"
Sasameki Koto (Whispered Words),7.96,7964,823,793,"22,130",684,9,55,Finished,"Jan  27, 2007 to Sep  27, 2011","['Comedy', 'Drama', 'Girls Love']",[],['Seinen'],Comic Alive,"Ikeda, Takashi (Story & Art)"
Karneval,7.96,9043,824,474,"35,083","1,300",28,163,Finished,"Aug  28, 2007 to Oct  28, 2021","['Action', 'Fantasy', 'Mystery', 'Sci-Fi']",[],['Josei'],Comic ZERO-SUM,"Mikanagi, Touya (Story & Art)"
Code Geass: Hangyaku no Lelouch (Code Geass: Lelouch of the Rebellion),7.96,1306,825,4742,"4,078",134,5,28,Finished,"Apr  28, 2007 to Mar  1, 2008","['Action', 'Adventure', 'Drama', 'Sci-Fi']",[],[],The Sneaker,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), Kumura, Takahiro (Art)"
Hidamari no Ki,7.96,313,826,11504,"1,388",18,11,62,Finished,"Apr  10, 1981 to Dec  10, 1986","['Action', 'Award Winning', 'Drama', 'Slice of Life']","['Historical', 'Medical', 'Samurai']",['Seinen'],Big Comic,"Tezuka, Osamu (Story & Art)"
"Kinou no Haru de, Kimi wo Matsu (Wait for Me Yesterday in Spring)",7.96,239,827,13662,"1,090",30,1,7,Finished,"Apr  17, 2020","['Mystery', 'Romance', 'Supernatural']",[],[],None,"Hachimoku, Mei (Story), Kukka (Art)"
Tokyo卍Revengers: Baji Keisuke kara no Tegami (Tokyo Revengers: A Letter from Keisuke Baji),7.96,1063,828,4892,"3,947",95,Unknown,Unknown,Publishing,"Jul  27, 2022 to ?",[],[],[],Magazine pocket,"Natsukawaguchi, Yukinori (Story & Art)"
Hotaru no Yomeiri (Firefly Wedding),7.96,1624,829,2291,"8,503",238,Unknown,Unknown,Publishing,"Jan  1, 2023 to ?",[],[],[],MangaONE,"Tachibana, Oreco (Story & Art)"
Ginga no Shinanai Kodomotachi e,7.96,580,830,10617,"1,551",40,2,14,Finished,"Feb  13, 2017 to Aug  27, 2018","['Adventure', 'Drama', 'Sci-Fi', 'Slice of Life']",[],[],@vitamin,"Shikawa, Yuuki (Story & Art)"
Witch of Mine,7.96,1629,831,4036,"4,907",175,4,Unknown,Finished,"Aug  25, 2015 to Feb  3, 2018","['Drama', 'Fantasy', 'Romance']",[],[],None,"Heyoon (Story), MAS (Art)"
Weak Hero,7.96,9150,832,775,"22,480",593,Unknown,267,Finished,"May  5, 2018 to Oct  14, 2023","['Action', 'Drama']",[],[],Naver Webtoon,"RAZEN (Art), Seopass (Story)"
Chi.: Chikyuu no Undou ni Tsuite (Orb: On the Movements of the Earth),7.96,869,833,4141,"4,766",60,8,62,Finished,"Sep  14, 2020 to Apr  18, 2022",[],[],['Seinen'],Big Comic Spirits,Uoto (Story & Art)
Tsuki ga Michibiku Isekai Douchuu,7.96,2534,834,2152,"9,041",205,Unknown,Unknown,Publishing,"May  28, 2013 to ?","['Adventure', 'Fantasy']",[],[],None,"Azumi, Kei (Story), Matsumoto, Mitsuaki (Art)"
Bokutachi ga Yarimashita,7.96,6957,835,744,"23,215",617,9,87,Finished,"Apr  6, 2015 to Jan  23, 2017",[],[],['Seinen'],Young Magazine (Weekly),"Kaneshiro, Muneyuki (Story), Araki, Hikaru (Art)"
Skill of Lure,7.95,10585,836,844,"20,928",541,7,36,Finished,"Mar  1, 2013 to Jan  1, 2016","['Comedy', 'Romance', 'Slice of Life', 'Ecchi']",[],[],Chance+,"Woo, Sang Ho (Story & Art)"
Queen's Quality,7.95,1397,837,1685,"11,444",146,Unknown,Unknown,Publishing,"Jul  13, 2015 to ?","['Romance', 'Supernatural']",[],['Shoujo'],Betsucomi,"Motomi, Kyousuke (Story & Art)"
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? Ex (WorldEnd: What Do You Do at the End of the World? Are You Busy? Will You Save Us? #EX),7.95,529,838,7939,"2,261",27,1,5,Finished,"Feb  1, 2017","['Fantasy', 'Sci-Fi']",[],[],None,"Kareno, Akira (Story), ue (Art)"
Sachi-iro no One Room (One Room of Happiness),7.95,14015,839,353,"45,883","1,656",11,69,Finished,"Sep  30, 2016 to Dec  21, 2022","['Drama', 'Suspense']",[],[],None,Hakuri (Story & Art)
Spiral: Suiri no Kizuna (Spiral: Bonds of Reasoning),7.95,4148,840,1588,"12,158",431,15,78,Finished,"Aug  11, 1999 to Oct  12, 2005","['Drama', 'Mystery', 'Suspense']",[],['Shounen'],Shounen Gangan,"Shirodaira, Kyou (Story), Mizuno, Eita (Art)"
Karakuri Circus,7.95,1608,841,2440,"8,045",196,43,426,Finished,"Jul  9, 1997 to May  31, 2006","['Adventure', 'Mystery']",[],['Shounen'],Shounen Sunday,"Fujita, Kazuhiro (Story & Art)"
Dragon Quest: Dai no Daibouken (Dragon Quest: The Adventure of Dai),7.95,5904,842,1636,"11,792",355,37,349,Finished,"Oct  10, 1989 to Nov  26, 1996","['Action', 'Adventure', 'Fantasy']",[],['Shounen'],Shounen Jump (Weekly),"Sanjou, Riku (Story), Inada, Koji (Art)"
Tenshi Nanka ja Nai,7.95,2399,843,3073,"6,466",137,8,40,Finished,Sep  1991 to Nov  1994,"['Drama', 'Romance']",[],['Shoujo'],Ribon Magazine,"Yazawa, Ai (Story & Art)"
Tengen Toppa Gurren Lagann,7.95,4414,844,1402,"13,547",253,10,65,Finished,"Apr  27, 2007 to May  27, 2013","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",[],['Shounen'],Dengeki Daioh,"Nakashima, Kazuki (Story), Mori, Kotarou (Art)"
Clannad: Tomoyo After (Tomoyo After ~Dear Shining Memories~),7.95,4005,845,2555,"7,721",200,1,4,Finished,"Apr  20, 2007 to Oct  20, 2007","['Drama', 'Romance']",[],[],Dragon Age,"Key (Story), Sumiyoshi, Yukiko (Art)"
Seikai no Monshou (Crest of the Stars),7.95,521,846,8959,"1,930",39,3,39,Finished,Apr  1996 to Jun  1996,"['Action', 'Romance', 'Sci-Fi']",[],[],None,"Morioka, Hiroyuki (Story), Ono, Toshihiro (Art)"
Himegimi to Sanbiki no Kemono,7.95,3751,847,2279,"8,534",103,4,12,Finished,"Feb  20, 2009 to Mar  20, 2011",[],[],['Shoujo'],The Hana to Yume,"Miyuki, Mitsubachi (Story & Art)"
Shinrei Tantei Yakumo,7.95,5093,848,898,"19,572",313,14,65,Finished,"Jun  24, 2009 to Jun  24, 2016","['Horror', 'Mystery', 'Romance', 'Supernatural']",[],['Shoujo'],Asuka,"Kaminaga, Manabu (Story), Oda, Suzuka (Art)"
Shinohayu: the Dawn of Age,7.95,360,849,10835,"1,508",36,Unknown,Unknown,Publishing,"Jul  25, 2013 to ?",[],[],['Shounen'],Big Gangan,"Igarashi, Aguri (Art), Kobayashi, Ritz (Story)"
Tate no Yuusha no Nariagari (The Rising of the Shield Hero),7.95,16128,850,349,"46,157","1,763",Unknown,Unknown,Publishing,"Aug  22, 2013 to ?",[],[],[],None,"Aneko, Yusagi (Story), Minami, Seira (Art)"
GTO: Paradise Lost (GTO Paradise Lost),7.95,4206,851,1111,"16,204",154,Unknown,Unknown,Publishing,"Apr  14, 2014 to ?",[],"['Delinquents', 'Workplace']",['Seinen'],Young Magazine (Weekly),"Fujisawa, Tooru (Story & Art)"
Higurashi no Naku Koro ni Kai - Dai 1-wa: Meakashi-hen,7.95,334,852,13437,"1,115",28,2,Unknown,Finished,"May  7, 2008 to Jun  2, 2008","['Drama', 'Horror', 'Mystery']",[],[],None,"Ryukishi07 (Story), Tomohi (Art)"
Toaru Majutsu no Index SS (A Certain Magical Index SS),7.95,1805,853,4467,"4,359",18,2,28,Finished,"Jul  10, 2007 to Nov  8, 2008","['Comedy', 'Supernatural']",[],['Shounen'],Dengeki Bunko Magazine,"Kamachi, Kazuma (Story), Haimura, Kiyotaka (Art)"
Owari no Chronicle,7.95,407,854,6907,"2,675",49,14,258,Finished,"Jun  25, 2003 to Dec  25, 2005","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],[],None,"Kawakami, Minoru (Story), Satoyasu (Art)"
Cheese in the Trap Season 1,7.95,9313,855,680,"25,617",747,6,27,Finished,"Jul  7, 2010 to May  26, 2011","['Comedy', 'Mystery', 'Romance', 'Slice of Life']",[],[],Naver Webtoon,Soonkki (Story & Art)
Senyuu.,7.95,1481,856,3722,"5,336",164,2,32,Finished,"May  2, 2012 to Apr  4, 2013","['Adventure', 'Comedy', 'Fantasy']",[],['Shounen'],Jump SQ.,"Haruhara, Robinson (Story & Art)"
Hypnosis Mic: Division Rap Battle - side F.P & M,7.95,494,857,9868,"1,721",66,3,15,Finished,"Dec  28, 2018 to Feb  28, 2020",[],[],['Josei'],Comic ZERO-SUM,"Momose, Yuuichirou (Story), Jou, Kiiko (Story & Art)"
Gekijouban One Piece: Stampede,7.95,640,858,9850,"1,725",19,1,8,Finished,"Aug  9, 2019","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",[],['Shounen'],None,"Oda, Eiichiro (Art), Hamazaki, Tatsuya (Story), Tomioka, Atsuhiro (Story), Ootsuka, Takashi (Story)"
Tensei Oujo to Tensai Reijou no Mahou Kakumei (The Magical Revolution of the Reincarnated Princess and the Genius Young Lady),7.95,637,859,6526,"2,873",92,Unknown,Unknown,Publishing,"Jan  18, 2020 to ?","['Comedy', 'Fantasy', 'Girls Love']",[],[],None,"Karasu, Piero (Story), Kisaragi, Yuri (Art)"
"Tsukuritai Onna to Tabetai Onna (She Loves to Cook, and She Loves to Eat)",7.95,525,860,6605,"2,833",65,Unknown,Unknown,Publishing,"Jan  8, 2021 to ?","['Girls Love', 'Slice of Life']",[],['Josei'],Comic it,"Yuzaki, Sakaomi (Story & Art)"
Roxana,7.95,2978,861,2203,"8,816",213,Unknown,Unknown,Publishing,"Jan  31, 2021 to ?","['Drama', 'Fantasy', 'Romance']","['Psychological', 'Villainess']",[],KakaoPage,"Kin (Story), Yeoreumbit (Art)"
Nano Machine,7.95,7192,862,1011,"17,577",415,Unknown,Unknown,Publishing,"Jun  10, 2020 to ?","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[],[],Naver Webtoon,"Hanjung Wolya (Story), Geumgang Bulgoe (Art)"
Maybe Meant to Be,7.94,4572,863,1355,"14,002",242,Unknown,Unknown,Publishing,"Feb  10, 2022 to ?","['Comedy', 'Romance']",[],[],Naver Webtoon,"Kkultarae (Story), Damcho (Art)"
Namaikizakari. (Cheeky Brat),7.94,23823,864,197,"75,068","2,512",23,140,Finished,"Oct  19, 2013 to Dec  20, 2021","['Romance', 'Sports']","['School', 'Team Sports']",['Shoujo'],Hana to Yume,"Miyuki, Mitsubachi (Story & Art)"
